	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105
55	2676	356	158	109	206	51	57	43	235	108	10	19	75	108	206	55	69	45	15	10	51	42	47	40	44	3	22	5	51	30	77	38	27	37	39	3	91	0	23	19	43	35	0	21	2	15	50	0	68	4	0	1	28	0	2	19	0	12	13	101	163	15	12	28	66	50	8	0	0	4	1	5	26	31	49	37	15	61	0	7	34	3	4	1	31	2	1	8	9	42	0	34	17	89	48	5	54	50	0	6	11	24	18	41	23
56	2594	359	323	197	108	254	133	194	12	115	29	120	215	65	69	17	45	45	55	44	16	41	32	0	8	75	114	16	32	33	47	12	39	2	11	48	4	20	53	33	2	45	9	0	13	37	32	0	54	20	21	2	61	21	57	11	12	18	38	67	35	1	19	25	0	77	6	5	23	30	2	0	5	9	6	7	32	0	4	40	18	10	0	2	3	6	19	0	94	39	45	0	44	12	3	13	2	13	5	25	8	4	1	4	2
57	2671	469	270	238	46	33	52	157	27	207	112	48	98	70	132	31	60	56	28	50	21	3	139	37	25	15	76	47	2	19	34	21	38	13	51	4	115	14	33	17	20	34	17	37	25	4	4	0	43	3	10	6	71	23	78	0	27	9	16	14	45	21	61	26	5	0	0	33	26	0	63	40	52	0	0	0	59	8	3	55	0	32	4	8	6	72	7	5	12	9	6	3	0	0	2	0	1	15	24	37	11	13	19	21	23
58	2475	362	307	123	25	268	83	207	1	0	112	178	82	6	192	46	88	30	54	31	38	50	166	22	86	0	10	44	38	57	22	40	3	21	4	2	44	69	12	99	30	30	0	34	27	6	4	0	2	22	8	1	45	40	22	28	45	9	1	6	63	40	1	4	60	25	18	0	20	20	33	16	42	9	18	9	10	1	0	46	52	18	0	9	26	1	37	1	0	7	30	1	7	44	8	24	4	7	8	109	24	10	10	94	24
59	2632	298	242	327	293	89	54	119	11	44	43	16	39	101	147	23	55	24	52	77	113	20	48	43	30	57	44	33	32	33	24	43	58	15	6	77	52	34	139	0	3	2	71	104	10	0	26	34	28	23	2	36	0	19	126	3	0	98	0	9	28	5	37	2	4	43	22	43	21	63	0	9	0	41	2	50	24	46	40	1	8	10	16	0	0	4	9	13	19	23	5	13	18	6	3	2	9	12	0	1	0	4	8	0	2
60	2568	36	529	167	294	116	118	64	85	1	27	0	85	144	63	0	24	177	33	25	48	38	10	45	34	17	43	1	89	49	88	24	42	41	1	19	86	21	70	23	18	84	59	52	8	2	3	0	0	43	49	26	51	30	7	40	4	38	0	4	26	21	1	37	1	51	20	3	6	29	15	28	0	26	4	7	91	10	47	0	160	20	5	19	2	31	7	18	3	19	52	23	3	59	1	3	5	37	30	5	0	15	19	24	1
61	2832	347	238	93	190	265	89	59	165	44	46	46	139	8	45	30	77	0	60	102	19	30	75	49	16	29	2	11	69	48	76	10	64	18	32	21	0	20	6	1	26	20	89	9	1	4	6	28	0	32	52	26	7	4	0	9	8	13	25	22	7	2	24	3	0	11	13	25	2	41	5	5	51	0	20	0	25	21	14	32	4	14	58	5	88	23	111	40	0	0	37	94	33	32	8	50	24	23	38	3	1	0	0	8	0
62	2682	381	136	353	73	29	200	70	160	117	56	111	1	83	24	138	25	27	44	50	31	0	40	38	0	15	71	0	74	36	37	33	35	45	21	5	0	159	9	14	12	28	35	47	2	26	13	8	5	6	29	3	8	0	6	40	50	20	125	16	29	24	52	5	31	22	43	14	60	37	95	1	9	2	2	0	40	25	13	18	28	38	6	1	49	4	0	25	9	5	16	13	38	4	0	8	2	9	0	1	0	23	12	88	44
63	2818	13	365	10	97	186	78	1	314	70	141	60	15	0	43	29	58	76	36	96	38	51	14	66	94	1	176	34	16	0	45	12	71	95	16	2	18	26	11	20	0	21	5	149	48	37	12	39	16	61	9	0	26	30	0	55	3	28	25	3	26	23	77	7	8	73	97	0	4	20	9	20	13	0	41	4	4	1	22	64	31	25	0	28	2	1	2	5	23	24	51	0	5	9	2	5	16	8	23	18	38	3	87	3	46
64	2655	219	214	115	379	52	1	104	141	88	46	1	85	55	110	83	188	50	0	32	122	49	160	35	19	151	8	1	11	0	20	38	25	39	0	18	0	23	21	48	59	3	27	106	46	14	28	35	2	45	73	21	28	0	52	12	10	68	60	3	8	19	0	56	5	73	33	18	4	1	20	27	95	0	48	23	6	39	0	2	48	24	5	3	1	6	6	11	23	2	19	0	13	6	2	8	31	3	13	0	4	38	3	1	2
65	2632	380	372	241	157	39	121	9	49	50	71	38	71	91	58	55	53	0	88	51	17	54	26	0	22	0	36	138	42	22	13	2	12	18	34	86	12	72	10	33	21	122	11	5	53	35	30	98	26	46	28	11	24	51	10	19	50	3	13	2	0	0	28	2	0	32	30	16	39	21	45	3	1	8	6	16	12	12	31	1	2	0	56	22	30	8	111	66	57	97	15	4	0	48	4	11	59	0	8	6	0	3	3	1	0
66	2622	451	460	280	98	75	134	97	114	27	32	13	21	95	54	33	1	40	4	34	167	45	53	118	67	0	0	30	12	29	31	33	37	3	42	30	31	45	42	11	29	29	6	54	15	43	38	27	42	26	1	3	0	6	32	32	3	21	9	5	0	0	23	6	68	0	51	76	11	14	0	0	19	40	4	9	1	32	16	96	42	9	31	59	24	17	0	21	6	2	6	41	3	54	25	3	0	7	6	1	27	10	45	6	4
67	2631	383	354	248	139	13	110	58	286	33	45	22	238	7	151	31	13	14	38	115	70	2	3	66	2	3	44	45	63	4	24	26	65	122	5	20	15	9	1	0	38	26	36	3	9	58	28	2	58	9	8	20	44	0	0	24	44	27	16	19	1	5	53	60	0	18	39	36	35	0	7	6	0	15	15	24	1	32	0	26	32	8	61	6	19	24	25	21	13	8	22	43	22	16	16	8	0	0	37	3	0	37	40	18	8
68	2818	412	224	208	100	130	120	117	11	250	111	31	61	34	6	80	3	60	82	0	41	0	23	17	74	12	39	22	2	38	30	34	4	60	1	17	27	1	6	42	55	0	58	68	34	2	15	102	59	8	11	39	25	21	83	9	6	3	37	4	45	10	0	0	4	10	26	64	20	0	29	6	58	30	39	9	18	78	11	0	41	0	27	10	3	16	59	5	18	4	5	21	6	27	0	9	22	17	4	5	15	2	27	59	1
69	2672	112	340	71	132	53	97	204	78	78	45	209	50	34	23	43	0	9	98	0	2	53	44	55	46	36	23	51	146	23	89	40	13	0	40	163	13	3	31	7	74	4	46	22	20	31	16	72	13	76	3	13	103	0	68	31	33	43	5	5	42	2	8	47	0	3	59	0	0	49	26	10	43	32	5	4	50	44	1	32	8	28	19	25	30	13	13	5	47	25	4	0	37	97	51	4	6	4	0	15	24	15	1	13	2
70	2592	276	221	138	328	102	173	165	137	137	0	145	1	32	0	96	63	29	8	9	16	156	49	48	6	48	84	47	10	37	15	80	24	23	6	1	40	39	0	100	75	66	21	6	58	0	4	100	37	6	30	17	29	0	12	8	1	11	65	7	1	35	21	10	2	60	0	0	27	37	24	8	99	8	5	30	0	0	12	22	18	16	30	47	24	26	9	0	16	2	21	11	18	37	8	2	5	23	49	8	11	2	1	24	4
71	2568	455	166	274	89	271	66	221	24	0	113	54	68	27	49	59	76	30	199	47	9	56	20	121	49	27	17	35	26	40	42	32	0	0	25	3	100	30	13	32	1	78	52	2	33	38	8	6	54	18	71	3	15	44	66	30	0	12	35	0	18	0	27	4	7	16	26	0	19	1	22	22	2	6	4	1	11	38	1	9	33	8	9	6	28	2	46	1	2	74	0	1	54	17	50	1	40	24	26	0	19	8	2	30	33
72	2579	430	26	238	394	131	93	91	93	100	105	174	138	6	0	60	97	120	15	68	48	29	17	39	5	3	38	26	10	24	0	68	88	17	30	0	106	25	23	5	9	47	4	8	2	43	0	4	0	5	23	0	73	0	54	24	52	23	8	16	35	0	28	5	1	26	24	0	31	52	9	9	1	24	0	30	9	102	6	43	34	25	11	18	13	7	39	25	0	0	72	1	31	40	0	11	5	37	24	16	5	24	16	3	1
