"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"yjeH_2","","L-methionine/branched-chain amino acid exporter YjeH","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"adaA_2","","Bifunctional transcriptional activator/DNA repair enzyme AdaA","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8460","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"bltD_1","","Spermine/spermidine acetyltransferase","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8462","phoP_1","Alkaline phosphatase synthesis transcriptional regulatory protein PhoP","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"senX3_2","","Signal-transduction histidine kinase senX3","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8464","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8465","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8466","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8467","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8468","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"ykvP","","Spore protein YkvP","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8470","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8471","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8473","katA_2","Catalase","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8474","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8475","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8476","brnQ_7","Branched-chain amino acid transport system 2 carrier protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_8477","","hypothetical protein","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"group_982","lutC_2","Lactate utilization protein C","0","9","7","0","0.0","0.0","0.0","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","0","1","1.0","1.0"
"atzC","","N-isopropylammelide isopropyl amidohydrolase","7","0","0","9","100.0","100.0","inf","8.741258741258732e-05","0.6673951048951041","0.0043907572690467375","1","1","0","1.0","1.0"
