	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56
41	5823	1957	790	1249	946	738	592	563	398	240	530	362	473	122	141	404	390	283	542	6	499	99	16	294	307	519	38	289	10	1492	477	812	294	241	174	460	116	83	347	233	1317	903	333	23	498	6	51	88	152	69	31	93	152	94	288	724
42	5170	1837	1056	695	90	675	593	111	1878	256	779	797	104	700	303	416	78	431	500	10	914	311	253	664	1515	211	373	472	268	247	304	82	32	1056	141	267	1104	163	3	2	251	51	26	69	98	356	55	339	237	726	186	199	18	6	300	393
43	5712	975	1221	1370	2021	427	1156	561	122	578	717	290	724	1623	458	346	1211	151	36	432	280	1077	331	17	94	303	492	270	82	828	21	200	58	286	52	467	58	4	271	103	294	185	349	53	205	23	2	154	232	13	274	32	177	353	260	140
44	5826	767	1482	1042	1026	905	457	441	858	455	86	699	105	255	688	1621	1645	73	242	231	362	404	291	73	161	281	1175	410	29	196	105	7	50	341	226	199	78	226	104	33	928	804	80	454	260	233	337	3	240	182	298	135	6	2	326	228
45	5408	2351	1202	1019	1278	1408	275	1839	1011	406	436	486	616	467	326	383	248	416	1105	403	368	61	155	7	381	180	463	294	293	105	29	121	224	89	37	421	106	372	145	269	13	20	74	517	189	16	822	4	2	288	232	261	87	177	197	69
46	5673	2815	719	1389	845	299	1167	442	812	75	675	1307	484	12	481	597	475	250	360	331	160	367	375	254	167	294	186	33	551	410	314	102	319	488	937	1324	7	357	173	243	184	91	32	250	138	82	4	15	22	225	230	95	23	210	197	104
47	5399	1842	1283	1754	699	54	781	305	695	492	599	1687	1667	340	181	454	331	290	252	240	325	56	18	590	996	331	268	192	189	6	256	93	99	381	286	205	202	208	277	48	98	69	4	294	786	233	2	104	78	273	411	15	153	297	259	724
48	5425	1507	1250	524	624	1657	628	1651	55	347	681	544	1728	483	110	59	19	561	71	284	399	96	361	290	471	241	291	377	109	221	373	292	9	80	260	237	3	270	26	262	961	238	281	798	508	130	729	14	269	192	180	94	6	398	354	143
49	5726	1383	713	570	410	855	1123	1934	1035	291	843	197	251	265	104	481	398	57	121	375	373	1033	76	907	56	301	304	249	1187	4	548	1466	204	498	162	270	267	501	298	203	71	81	9	14	213	30	105	4	32	21	288	336	357	357	15	199
50	5773	1812	1040	984	233	508	783	408	433	884	703	740	402	337	75	253	186	1365	276	518	558	294	389	88	416	1416	16	366	178	130	246	54	251	52	189	265	1393	148	274	8	53	310	782	15	242	907	245	2	24	206	325	49	22	104	354	87
51	6206	851	633	1276	2033	1041	293	705	251	321	1022	473	377	496	518	360	345	1350	350	531	372	329	168	90	387	106	495	1376	251	235	353	293	53	96	186	146	6	311	187	530	33	15	30	337	205	209	4	142	51	2	13	233	288	956	233	18
52	5686	1027	519	590	1362	413	119	547	1889	734	588	1257	473	741	8	262	289	291	330	186	998	244	93	26	325	390	375	364	259	498	469	54	272	238	93	512	174	1351	210	271	3	257	254	235	95	282	184	897	771	30	494	7	32	78	4	21
53	5651	1285	1927	856	399	346	498	1147	1248	138	381	603	4	435	682	1518	252	112	55	448	291	166	439	45	346	297	492	385	252	37	467	832	15	181	94	195	196	294	80	7	359	69	416	1366	338	969	268	7	184	206	94	21	362	141	181	94
54	5547	1886	704	1697	1019	1128	650	300	419	457	520	189	486	400	156	333	321	335	109	398	771	56	55	540	142	401	15	266	204	84	1483	161	503	201	408	278	1007	7	182	278	48	3	183	15	169	94	1346	32	263	222	232	208	393	50	494	323
55	5686	2432	725	645	960	454	101	865	557	559	493	654	499	490	274	350	77	302	10	100	1388	517	231	422	289	1482	1363	199	54	170	72	283	284	484	281	34	265	6	95	56	92	270	914	54	285	147	14	193	158	297	772	21	2	232	18	494
56	5578	1587	1004	777	720	873	371	561	6	972	520	320	503	481	193	144	377	190	8	1414	388	55	387	1488	15	294	31	96	592	776	120	35	294	287	263	194	1024	79	400	458	224	24	1345	346	179	236	49	150	105	88	47	254	159	498	201	391
57	5357	1641	1100	876	1324	1844	1397	379	296	684	115	492	510	426	320	87	315	14	388	529	1479	578	287	75	237	320	201	265	786	287	77	980	156	52	367	65	267	240	20	99	158	4	261	222	784	15	32	313	47	34	399	154	144	326	259	87
58	5415	1008	1740	618	84	613	1643	520	428	932	1717	754	466	831	516	477	134	10	296	853	148	291	373	385	106	311	1410	361	553	364	260	277	71	85	232	107	188	410	238	150	24	4	311	15	373	94	15	188	965	188	209	228	42	87	49	4
59	5712	2194	1230	692	629	1142	511	603	197	595	295	1705	418	58	259	667	405	421	356	301	294	1478	399	98	402	388	57	220	56	60	68	85	22	5	397	236	264	743	289	217	194	209	218	791	405	87	962	211	398	261	69	139	2	4	40	13
60	5393	1450	760	911	1181	1647	341	556	308	619	1647	640	698	550	367	601	346	1478	307	311	5	272	411	98	36	76	201	220	776	35	52	264	225	105	384	154	986	282	105	790	70	216	340	430	24	6	13	157	81	477	79	272	231	180	5	2
61	5673	1201	1568	709	1203	922	549	590	192	261	320	104	425	627	267	429	40	418	7	337	390	90	364	16	7	290	284	233	3	588	273	1602	59	251	288	1101	1355	518	94	465	859	184	183	77	33	916	18	267	285	331	184	494	143	49	22	13
